,Price,Qty
2015-08-04 09:22:43.260000,119.8359,1.0
2015-08-04 09:22:43.260000,119.8359,2.0
2015-08-04 09:22:43.260000,119.8359,1.0
2015-08-04 09:22:43.260000,119.8359,2.0
2015-08-04 09:22:43.260000,119.8359,2.0
2015-08-04 09:22:43.260000,119.8359,1.0
2015-08-04 09:22:43.260000,119.8359,6.0
2015-08-04 09:22:43.263000,119.8359,15.0
2015-08-04 09:22:43.263000,119.8359,4.0
2015-08-04 09:22:43.263000,119.8359,1.0
2015-08-04 09:22:43.267000,119.8359,4.0
2015-08-04 09:22:43.270000,119.8359,19.0
2015-08-04 09:22:43.270000,119.8359,2.0
2015-08-04 09:22:43.270000,119.8359,5.0
2015-08-04 09:22:43.270000,119.8359,2.0
2015-08-04 09:22:43.270000,119.8359,7.0
2015-08-04 09:22:43.270000,119.8359,3.0
2015-08-04 09:22:43.270000,119.8359,7.0
2015-08-04 09:22:43.270000,119.8359,2.0
2015-08-04 09:22:43.270000,119.8359,3.0
2015-08-04 09:22:43.270000,119.8359,2.0
2015-08-04 09:22:43.270000,119.8359,2.0
2015-08-04 09:22:43.287000,119.8359,3.0
2015-08-04 09:22:56.593000,119.8281,1.0
2015-08-04 09:23:02.213000,119.8359,1.0
2015-08-04 09:23:10.567000,119.8359,8.0
2015-08-04 09:23:10.567000,119.8359,3.0
2015-08-04 09:23:10.567000,119.8359,6.0
2015-08-04 09:23:10.567000,119.8359,2.0
2015-08-04 09:23:10.567000,119.8359,2.0
2015-08-04 09:23:10.567000,119.8359,7.0
2015-08-04 09:23:10.567000,119.8359,2.0
2015-08-04 09:23:10.567000,119.8359,4.0
2015-08-04 09:23:10.567000,119.8359,2.0
2015-08-04 09:23:10.567000,119.8359,2.0
2015-08-04 09:23:10.567000,119.8359,1.0
2015-08-04 09:23:10.567000,119.8359,3.0
2015-08-04 09:23:12.657000,119.8359,7.0
2015-08-04 09:23:12.657000,119.8359,4.0
2015-08-04 09:23:13.157000,119.8359,1.0
2015-08-04 09:23:13.157000,119.8359,23.0
2015-08-04 09:23:13.157000,119.8359,4.0
2015-08-04 09:23:13.157000,119.8359,4.0
2015-08-04 09:23:13.157000,119.8359,25.0
2015-08-04 09:23:13.157000,119.8359,42.0
2015-08-04 09:23:13.160000,119.8359,3.0
2015-08-04 09:23:13.160000,119.8359,10.0
2015-08-04 09:23:13.160000,119.8359,9.0
2015-08-04 09:23:13.160000,119.8359,10.0
2015-08-04 09:23:13.160000,119.8359,9.0
2015-08-04 09:23:13.160000,119.8359,19.0
2015-08-04 09:23:13.160000,119.8359,19.0
2015-08-04 09:23:13.160000,119.8359,2.0
2015-08-04 09:23:13.160000,119.8359,3.0
2015-08-04 09:23:13.160000,119.8359,2.0
2015-08-04 09:23:13.160000,119.8359,2.0
2015-08-04 09:23:13.160000,119.8359,5.0
2015-08-04 09:23:13.163000,119.8359,5.0
2015-08-04 09:23:13.163000,119.8359,12.0
2015-08-04 09:23:13.163000,119.8359,4.0
2015-08-04 09:23:13.227000,119.8281,8.0
2015-08-04 09:23:19.717000,119.8281,2.0
2015-08-04 09:23:19.717000,119.8281,2.0
2015-08-04 09:23:19.717000,119.8281,1.0
2015-08-04 09:23:19.717000,119.8281,10.0
2015-08-04 09:23:19.717000,119.8281,2.0
2015-08-04 09:23:19.717000,119.8281,7.0
2015-08-04 09:23:19.717000,119.8281,2.0
2015-08-04 09:23:19.717000,119.8281,2.0
2015-08-04 09:23:19.717000,119.8281,2.0
2015-08-04 09:23:19.717000,119.8281,5.0
2015-08-04 09:23:19.717000,119.8281,1.0
2015-08-04 09:23:19.717000,119.8281,2.0
2015-08-04 09:23:19.717000,119.8281,1.0
2015-08-04 09:23:19.723000,119.8359,1.0
2015-08-04 09:23:19.723000,119.8359,2.0
2015-08-04 09:23:19.747000,119.8281,9.0
2015-08-04 09:23:19.747000,119.8281,1.0
2015-08-04 09:23:19.770000,119.8281,1.0
2015-08-04 09:23:19.770000,119.8281,2.0
2015-08-04 09:23:19.770000,119.8281,5.0
2015-08-04 09:23:19.770000,119.8281,2.0
2015-08-04 09:23:19.927000,119.8281,2.0
2015-08-04 09:23:19.927000,119.8281,2.0
2015-08-04 09:23:19.927000,119.8281,5.0
2015-08-04 09:23:19.927000,119.8281,1.0
2015-08-04 09:23:19.947000,119.8281,1.0
2015-08-04 09:23:19.947000,119.8281,2.0
2015-08-04 09:23:19.947000,119.8281,1.0
2015-08-04 09:23:19.947000,119.8281,5.0
2015-08-04 09:23:19.947000,119.8281,1.0
2015-08-04 09:23:19.977000,119.8281,5.0
2015-08-04 09:23:19.977000,119.8281,1.0
2015-08-04 09:23:19.977000,119.8281,4.0
2015-08-04 09:23:20,119.8281,9.0
2015-08-04 09:23:20,119.8281,1.0
2015-08-04 09:23:24.663000,119.8281,1.0
2015-08-04 09:23:26.970000,119.8359,5.0
2015-08-04 09:23:26.970000,119.8359,2.0
2015-08-04 09:23:26.970000,119.8359,3.0
2015-08-04 09:23:27.870000,119.8359,2.0
2015-08-04 09:23:27.870000,119.8359,2.0
2015-08-04 09:23:27.870000,119.8359,5.0
2015-08-04 09:23:27.870000,119.8359,5.0
2015-08-04 09:23:27.870000,119.8359,4.0
2015-08-04 09:23:31.663000,119.8359,1.0
2015-08-04 09:23:31.663000,119.8359,9.0
2015-08-04 09:23:47.150000,119.8281,10.0
2015-08-04 09:23:52.670000,119.8281,5.0
2015-08-04 09:23:52.670000,119.8281,2.0
2015-08-04 09:23:52.670000,119.8281,2.0
2015-08-04 09:23:52.670000,119.8281,1.0
2015-08-04 09:23:52.690000,119.8281,1.0
2015-08-04 09:23:52.690000,119.8281,9.0
2015-08-04 09:23:52.710000,119.8281,3.0
2015-08-04 09:23:52.710000,119.8281,4.0
2015-08-04 09:23:52.710000,119.8281,1.0
2015-08-04 09:23:52.710000,119.8281,2.0
2015-08-04 09:23:52.730000,119.8281,3.0
2015-08-04 09:23:52.730000,119.8281,2.0
2015-08-04 09:23:52.730000,119.8281,5.0
2015-08-04 09:23:52.753000,119.8281,2.0
2015-08-04 09:23:52.753000,119.8281,2.0
2015-08-04 09:23:52.753000,119.8281,1.0
2015-08-04 09:23:52.753000,119.8281,1.0
2015-08-04 09:23:52.753000,119.8281,4.0
2015-08-04 09:23:52.773000,119.8281,8.0
2015-08-04 09:23:52.773000,119.8281,1.0
2015-08-04 09:23:52.773000,119.8281,1.0
2015-08-04 09:23:52.793000,119.8281,1.0
2015-08-04 09:23:52.793000,119.8281,9.0
